164	165
164	167
164	169
164	212
165	0
167	4
169	106
169	0
169	4
106	9
106	107
0	1
4	5
4	10
4	13
4	18
4	23
4	28
4	33
4	38
4	43
4	48
4	53
4	58
4	63
4	68
4	73
4	78
4	83
4	88
4	93
4	98
4	190
9	170
107	10
107	108
107	111
107	114
107	117
107	120
107	123
107	126
107	129
107	132
107	135
107	138
107	141
107	144
107	147
107	150
107	153
107	156
107	159
107	209
5	6
5	7
10	171
13	172
18	173
23	174
28	175
33	176
38	177
43	178
48	179
53	180
58	181
63	182
68	183
73	184
78	185
83	186
88	187
93	188
98	189
190	103
108	191
111	192
114	193
117	194
120	195
123	196
126	197
129	198
132	199
135	200
138	201
141	202
144	203
147	204
150	205
153	206
156	207
159	208
209	162
189	99
208	160
103	104
99	100
162	163
207	157
188	94
160	161
94	95
157	158
100	101
187	89
163	105
104	105
161	101
206	154
154	155
105	102
101	102
158	96
205	151
89	90
95	96
186	84
102	97
90	91
96	97
84	85
155	91
151	152
185	79
204	148
97	92
79	80
184	74
91	92
148	149
152	86
85	86
203	145
145	146
92	87
74	75
86	87
202	142
183	69
80	81
149	81
75	76
146	76
81	82
69	70
142	143
182	64
87	82
201	139
64	65
76	77
70	71
82	77
200	136
181	59
143	71
139	140
77	72
65	66
136	137
180	54
140	66
59	60
71	72
199	133
198	130
133	134
54	55
72	67
137	61
60	61
66	67
179	49
67	62
61	62
55	56
178	44
197	127
134	56
130	131
49	50
127	128
44	45
177	39
50	51
56	57
131	51
62	57
196	124
39	40
195	121
124	125
45	46
57	52
51	52
176	34
128	46
125	41
34	35
46	47
52	47
40	41
175	29
121	122
194	118
174	24
122	36
193	115
47	42
118	119
35	36
41	42
29	30
24	25
42	37
36	37
192	112
173	19
119	31
115	116
30	31
172	14
37	32
31	32
112	113
116	26
25	26
19	20
191	109
26	27
113	21
32	27
14	15
109	110
20	21
21	22
6	168
7	6
7	8
27	22
15	16
110	16
171	11
16	17
1	2
1	166
8	9
22	17
11	12
17	12
2	166
2	168
2	170
2	20210
166	0
213	212
20211	20210
168	4
170	106
